Id,Predicted
68cf05f67fd29c6f129fe2fb9,France
f5fead9187d56af2bdbfcb921,10th and 11th centuries
f9183ead5bb93aaa12ea37245,"Denmark, Iceland and Norway"
1fc4da46445c2c1c2dc0ddeda,Rollo
1be9fa378cbee6d9fa8b6ac78,10th
c42edddd0f45b968cc4c512e5,The Normans
d583847c96cbbbfaaa99dfcad,Normandy
e06fbbdb50af7ab3faefde618,King Charles III of West Francia
cbb48eaacbbbfcccefb7aab7f,first half of the 10th century
6d2fff36bcac0ea0e689a5a31,William the Conqueror
faf67818ee17102d8c16cc9e5,Richard I
e688568f9e7fd2700aea3d75d,Christian
e7a1efbabdb13fbc36df8e179,"political, cultural and military"
b5e6efbccbf6feb8dddbbce8d,The Normans
b3c16b20fa0daff05d74bedfc,"Norman, Normaund or Norman French"
71eb21da6ccfcfebdd3fc384e,Richard I
e1b5fab52e5afa35bf1cfce1c,Normandy
f8a7c2ed64befec7ec9c5ea0a,The
eeacbc7e6ee75bc86b02ab940,9th century
c7d36363dff95f96e250cacac,Normans
60cfd1e6211da7fbacbed6fc9,The
b85ca910dc4ec2ea18e6e3a3f,911
3ef9ae00c1b7e813e7ec3f4ec,King Charles III of West Francia
b5bd826d54eaccce5ab22b9da,Saint-Clair-sur-Epte
f147bbd8c05e0fbbd7dccab36,10th century
bcfbcb0feb1fad209dd333bea,Saint-Clair-sur-Epte
b3963286d4acdc3eb847cd3bd,In
3df69eaf84abc8aaed0f970f3,Viking incursions
ec0a00f05abada8d17aeadae0,traditional pagii
0adbe8dbeec191d81af0de93b,Before
2be7ca909f22edbe8e4ae1b17,Before
8c5ca269c0c20c9fbdf70d408,Christianity
f531f3d9fc5fe1fd7d6db7adb,north
08c97bddb5d2a0f199ec591cd,The descendants of Rollo's Vikings and their Frankish wives
a04ba1e2dd588f58ac70c0e30,The
c6b2a10656f777ce4fab694e3,langue
814a0ccd6f18bedb59a96baac,The
860bc8e9802e79c73ea7c848c,The
2fa75ccaa2ccbcaab31db0cce,The
77c72a9074da7482562bd8f57,"Normans of Italy, France and England"
7fb661979cab3689e6b7bce03,"Pechenegs, the Bulgars, and especially the Seljuk Turks"
6cbc9a7bd74badd0ff85d00cf,the Normans
